t,gamma,sigma
1.488281250000000000e+00,1.064297496231988160e-01,5.321487481159940636e+00
1.492187500000000000e+00,7.107724549572283501e-02,3.553862274786141917e+00
1.496093750000000000e+00,3.557591306286383287e-02,1.778795653143191657e+00
1.500000000000000000e+00,5.327213576290986242e-16,2.663606788145493259e-14
1.503906250000000000e+00,-3.557591306286277122e-02,-1.778795653143138589e+00
1.507812500000000000e+00,-7.107724549572176642e-02,-3.553862274786088182e+00
1.511718750000000000e+00,-1.064297496231977613e-01,-5.321487481159888233e+00
1.515625000000000000e+00,-1.415598419177289402e-01,-7.077992095886447288e+00
1.519531250000000000e+00,-1.763949306794643235e-01,-8.819746533973216174e+00
1.523437500000000000e+00,-2.108637384699030837e-01,-1.054318692349515452e+01
1.527343750000000000e+00,-2.448966175947687451e-01,-1.224483087973843709e+01
1.531250000000000000e+00,-2.784258569690676310e-01,-1.392129284845338155e+01
1.535156250000000000e+00,-3.113859787439633431e-01,-1.556929893719816782e+01
1.539062500000000000e+00,-3.437140231303152382e-01,-1.718570115651576202e+01
1.542968750000000000e+00,-3.753498199176178995e-01,-1.876749099588089464e+01
1.546875000000000000e+00,-4.062362452588732520e-01,-2.031181226294366127e+01
1.550781250000000000e+00,-4.363194623716284415e-01,-2.181597311858142163e+01
1.554687500000000000e+00,-4.655491448922608466e-01,-2.327745724461304277e+01
1.558593750000000000e+00,-4.938786817143145935e-01,-2.469393408571572834e+01
1.562500000000000000e+00,-5.212653622417827703e-01,-2.606326811208913696e+01
1.566406250000000000e+00,-5.476705410939444185e-01,-2.738352705469722181e+01
1.570312500000000000e+00,-5.730597814094635645e-01,-2.865298907047317911e+01
1.574218750000000000e+00,-5.974029760129468958e-01,-2.987014880064734612e+01
1.578125000000000000e+00,-6.206744458268269593e-01,-3.103372229134134841e+01
1.582031250000000000e+00,-6.428530150342135485e-01,-3.214265075171067565e+01
1.585937500000000000e+00,-6.639220626239972223e-01,-3.319610313119986245e+01
1.589843750000000000e+00,-6.838695500769039759e-01,-3.419347750384520168e+01
1.593750000000000000e+00,-7.026880250800863204e-01,-3.513440125400431668e+01
1.597656250000000000e+00,-7.203746012871614646e-01,-3.601873006435807412e+01
1.601562500000000000e+00,-7.369309142698858839e-01,-3.684654571349429375e+01
1.605468750000000000e+00,-7.523630539361565450e-01,-3.761815269680782592e+01
1.609375000000000000e+00,-7.666814738158980180e-01,-3.833407369079490223e+01
1.613281250000000000e+00,-7.799008777412327342e-01,-3.899504388706163382e+01
1.617187500000000000e+00,-7.920400845691142333e-01,-3.960200422845571211e+01
1.621093750000000000e+00,-8.031218717130397255e-01,-4.015609358565198761e+01
1.625000000000000000e+00,-8.131727983645302693e-01,-4.065863991822651258e+01
1.628906250000000000e+00,-8.222230093945331886e-01,-4.111115046972665965e+01
1.632812500000000000e+00,-8.303060210288244480e-01,-4.151530105144122018e+01
1.636718750000000000e+00,-8.374584894895487075e-01,-4.187292447447743626e+01
1.640625000000000000e+00,-8.437199638866366147e-01,-4.218599819433183029e+01
1.644531250000000000e+00,-8.491326247273546235e-01,-4.245663123636773406e+01
1.648437500000000000e+00,-8.537410094894781754e-01,-4.268705047447390655e+01
1.652343750000000000e+00,-8.575917267728181415e-01,-4.287958633864090530e+01
1.656250000000000000e+00,-8.607331606049644090e-01,-4.303665803024821912e+01
1.660156250000000000e+00,-8.632151665295888510e-01,-4.316075832647944566e+01
1.664062500000000000e+00,-8.650887611493850438e-01,-4.325443805746925108e+01
1.667968750000000000e+00,-8.664058068302751270e-01,-4.332029034151375413e+01
1.671875000000000000e+00,-8.672186932989209840e-01,-4.336093466494605053e+01
1.675781250000000000e+00,-8.675800178814704333e-01,-4.337900089407352056e+01
1.679687500000000000e+00,-8.675422661379534883e-01,-4.337711330689767664e+01
1.683593750000000000e+00,-8.671574946436969578e-01,-4.335787473218484678e+01
1.687500000000000000e+00,-8.664770176565232962e-01,-4.332385088282616437e+01
1.691406250000000000e+00,-8.655510993865480618e-01,-4.327755496932740442e+01
1.695312500000000000e+00,-8.644286535540374183e-01,-4.322143267770186981e+01
1.699218750000000000e+00,-8.631569518803599017e-01,-4.315784759401799420e+01
1.703125000000000000e+00,-8.617813431076616348e-01,-4.308906715538308418e+01
1.707031250000000000e+00,-8.603449840848795827e-01,-4.301724920424398135e+01
1.710937500000000000e+00,-8.588885843913001139e-01,-4.294442921956500925e+01
1.714843750000000000e+00,-8.574501658945373750e-01,-4.287250829472687030e+01
1.718750000000000000e+00,-8.560648385578490949e-01,-4.280324192789245785e+01
1.722656250000000000e+00,-8.547645937226346913e-01,-4.273822968613173146e+01
1.726562500000000000e+00,-8.535781159962647635e-01,-4.267890579981323640e+01
1.730468750000000000e+00,-8.525306147734992290e-01,-4.262653073867495834e+01
1.734375000000000000e+00,-8.516436763123657050e-01,-4.258218381561828636e+01
1.738281250000000000e+00,-8.509351371729108049e-01,-4.254675685864553714e+01
1.742187500000000000e+00,-8.504189797104553250e-01,-4.252094898552276447e+01
1.746093750000000000e+00,-8.501052501944006412e-01,-4.250526250972003339e+01
1.750000000000000000e+00,-8.499999999999999778e-01,-4.250000000000000000e+01
1.753906250000000000e+00,-8.501052501944007522e-01,-4.250526250972004050e+01
1.757812500000000000e+00,-8.504189797104553250e-01,-4.252094898552276447e+01
1.761718750000000000e+00,-8.509351371729108049e-01,-4.254675685864553714e+01
1.765625000000000000e+00,-8.516436763123653719e-01,-4.258218381561826504e+01
1.769531250000000000e+00,-8.525306147734990070e-01,-4.262653073867495124e+01
1.773437500000000000e+00,-8.535781159962644304e-01,-4.267890579981322219e+01
1.777343750000000000e+00,-8.547645937226343582e-01,-4.273822968613171724e+01
1.781250000000000000e+00,-8.560648385578487618e-01,-4.280324192789243654e+01
1.785156250000000000e+00,-8.574501658945375970e-01,-4.287250829472687741e+01
1.789062500000000000e+00,-8.588885843913004470e-01,-4.294442921956502346e+01
1.792968750000000000e+00,-8.603449840848799157e-01,-4.301724920424399556e+01
1.796875000000000000e+00,-8.617813431076620789e-01,-4.308906715538310550e+01
1.800781250000000000e+00,-8.631569518803603458e-01,-4.315784759401801551e+01
1.804687500000000000e+00,-8.644286535540368632e-01,-4.322143267770184138e+01
1.808593750000000000e+00,-8.655510993865476177e-01,-4.327755496932738311e+01
1.812500000000000000e+00,-8.664770176565227411e-01,-4.332385088282613594e+01
1.816406250000000000e+00,-8.671574946436968467e-01,-4.335787473218483967e+01
1.820312500000000000e+00,-8.675422661379534883e-01,-4.337711330689767664e+01
1.824218750000000000e+00,-8.675800178814704333e-01,-4.337900089407352056e+01
1.828125000000000000e+00,-8.672186932989208730e-01,-4.336093466494604343e+01
1.832031250000000000e+00,-8.664058068302751270e-01,-4.332029034151375413e+01
1.835937500000000000e+00,-8.650887611493850438e-01,-4.325443805746925108e+01
1.839843750000000000e+00,-8.632151665295894061e-01,-4.316075832647946697e+01
1.843750000000000000e+00,-8.607331606049650752e-01,-4.303665803024825465e+01
1.847656250000000000e+00,-8.575917267728186966e-01,-4.287958633864093372e+01
1.851562500000000000e+00,-8.537410094894777313e-01,-4.268705047447388523e+01
1.855468750000000000e+00,-8.491326247273541794e-01,-4.245663123636770564e+01
1.859375000000000000e+00,-8.437199638866369478e-01,-4.218599819433184450e+01
1.863281250000000000e+00,-8.374584894895489295e-01,-4.187292447447744337e+01
1.867187500000000000e+00,-8.303060210288246701e-01,-4.151530105144123439e+01
1.871093750000000000e+00,-8.222230093945335216e-01,-4.111115046972667386e+01
1.875000000000000000e+00,-8.131727983645304914e-01,-4.065863991822652679e+01
1.878906250000000000e+00,-8.031218717130399476e-01,-4.015609358565199472e+01
1.882812500000000000e+00,-7.920400845691150105e-01,-3.960200422845574764e+01
1.886718750000000000e+00,-7.799008777412335114e-01,-3.899504388706167646e+01
1.890625000000000000e+00,-7.666814738158989062e-01,-3.833407369079494487e+01
1.894531250000000000e+00,-7.523630539361569891e-01,-3.761815269680784724e+01
1.898437500000000000e+00,-7.369309142698863280e-01,-3.684654571349431507e+01
1.902343750000000000e+00,-7.203746012871619087e-01,-3.601873006435809543e+01
1.906250000000000000e+00,-7.026880250800868755e-01,-3.513440125400434511e+01
1.910156250000000000e+00,-6.838695500769047531e-01,-3.419347750384523721e+01
1.914062500000000000e+00,-6.639220626239978884e-01,-3.319610313119989087e+01
1.917968750000000000e+00,-6.428530150342143257e-01,-3.214265075171071828e+01
1.921875000000000000e+00,-6.206744458268276254e-01,-3.103372229134138038e+01
1.925781250000000000e+00,-5.974029760129475619e-01,-2.987014880064737810e+01
1.929687500000000000e+00,-5.730597814094642306e-01,-2.865298907047321109e+01
1.933593750000000000e+00,-5.476705410939451957e-01,-2.738352705469726089e+01
1.937500000000000000e+00,-5.212653622417838806e-01,-2.606326811208919381e+01
1.941406250000000000e+00,-4.938786817143158148e-01,-2.469393408571579229e+01
1.945312500000000000e+00,-4.655491448922621234e-01,-2.327745724461310672e+01
1.949218750000000000e+00,-4.363194623716294962e-01,-2.181597311858147492e+01
1.953125000000000000e+00,-4.062362452588742512e-01,-2.031181226294371100e+01
1.957031250000000000e+00,-3.753498199176190098e-01,-1.876749099588095149e+01
1.960937500000000000e+00,-3.437140231303163485e-01,-1.718570115651581887e+01
1.964843750000000000e+00,-3.113859787439644533e-01,-1.556929893719822289e+01
1.968750000000000000e+00,-2.784258569690683527e-01,-1.392129284845341708e+01
1.972656250000000000e+00,-2.448966175947694390e-01,-1.224483087973847262e+01
1.976562500000000000e+00,-2.108637384699038053e-01,-1.054318692349519004e+01
1.980468750000000000e+00,-1.763949306794660166e-01,-8.819746533973301439e+00
1.984375000000000000e+00,-1.415598419177306888e-01,-7.077992095886534329e+00
1.988281250000000000e+00,-1.064297496231995099e-01,-5.321487481159975275e+00
1.992187500000000000e+00,-7.107724549572300154e-02,-3.553862274786149911e+00
1.996093750000000000e+00,-3.557591306286400634e-02,-1.778795653143200317e+00
2.000000000000000000e+00,-7.102951435054648651e-16,-3.551475717527324345e-14
2.003906250000000000e+00,3.557591306286259081e-02,1.778795653143129485e+00
2.007812500000000000e+00,7.107724549572158601e-02,3.553862274786079301e+00
2.011718750000000000e+00,1.064297496231980944e-01,5.321487481159905109e+00
2.015625000000000000e+00,1.415598419177293010e-01,7.077992095886465052e+00
2.019531250000000000e+00,1.763949306794646288e-01,8.819746533973232161e+00
2.023437500000000000e+00,2.108637384699024453e-01,1.054318692349512254e+01
2.027343750000000000e+00,2.448966175947681068e-01,1.224483087973840512e+01
2.031250000000000000e+00,2.784258569690670204e-01,1.392129284845335135e+01
2.035156250000000000e+00,3.113859787439631210e-01,1.556929893719815539e+01
2.039062500000000000e+00,3.437140231303151272e-01,1.718570115651575492e+01
2.042968750000000000e+00,3.753498199176177330e-01,1.876749099588088754e+01
2.046875000000000000e+00,4.062362452588730299e-01,2.031181226294365061e+01
2.050781250000000000e+00,4.363194623716283305e-01,2.181597311858141808e+01
2.054687500000000000e+00,4.655491448922609576e-01,2.327745724461304633e+01
2.058593750000000000e+00,4.938786817143147045e-01,2.469393408571573545e+01
2.062500000000000000e+00,5.212653622417828814e-01,2.606326811208914407e+01
2.066406250000000000e+00,5.476705410939441965e-01,2.738352705469721116e+01
2.070312500000000000e+00,5.730597814094633424e-01,2.865298907047316845e+01
2.074218750000000000e+00,5.974029760129466737e-01,2.987014880064733546e+01
2.078125000000000000e+00,6.206744458268267373e-01,3.103372229134133775e+01
2.082031250000000000e+00,6.428530150342134375e-01,3.214265075171066854e+01
2.085937500000000000e+00,6.639220626239971113e-01,3.319610313119985534e+01
2.089843750000000000e+00,6.838695500769038649e-01,3.419347750384519458e+01
2.093750000000000000e+00,7.026880250800862093e-01,3.513440125400430958e+01
2.097656250000000000e+00,7.203746012871612425e-01,3.601873006435805991e+01
2.101562500000000000e+00,7.369309142698856618e-01,3.684654571349427954e+01
2.105468750000000000e+00,7.523630539361562120e-01,3.761815269680781171e+01
2.109375000000000000e+00,7.666814738158983511e-01,3.833407369079491644e+01
2.113281250000000000e+00,7.799008777412329563e-01,3.899504388706164804e+01
2.117187500000000000e+00,7.920400845691144553e-01,3.960200422845572632e+01
2.121093750000000000e+00,8.031218717130396145e-01,4.015609358565198050e+01
2.125000000000000000e+00,8.131727983645301583e-01,4.065863991822650547e+01
2.128906250000000000e+00,8.222230093945332996e-01,4.111115046972666676e+01
2.132812500000000000e+00,8.303060210288243370e-01,4.151530105144122018e+01
2.136718750000000000e+00,8.374584894895487075e-01,4.187292447447743626e+01
2.140625000000000000e+00,8.437199638866366147e-01,4.218599819433183029e+01
2.144531250000000000e+00,8.491326247273540684e-01,4.245663123636770564e+01
2.148437500000000000e+00,8.537410094894776202e-01,4.268705047447387813e+01
2.152343750000000000e+00,8.575917267728185855e-01,4.287958633864092661e+01
2.156250000000000000e+00,8.607331606049649642e-01,4.303665803024824754e+01
2.160156250000000000e+00,8.632151665295892951e-01,4.316075832647946697e+01
2.164062500000000000e+00,8.650887611493849327e-01,4.325443805746924397e+01
2.167968750000000000e+00,8.664058068302751270e-01,4.332029034151375413e+01
2.171875000000000000e+00,8.672186932989208730e-01,4.336093466494604343e+01
2.175781250000000000e+00,8.675800178814704333e-01,4.337900089407352056e+01
2.179687500000000000e+00,8.675422661379534883e-01,4.337711330689767664e+01
2.183593750000000000e+00,8.671574946436969578e-01,4.335787473218484678e+01
2.187500000000000000e+00,8.664770176565228521e-01,4.332385088282614305e+01
2.191406250000000000e+00,8.655510993865477287e-01,4.327755496932738311e+01
2.195312500000000000e+00,8.644286535540368632e-01,4.322143267770184138e+01
2.199218750000000000e+00,8.631569518803603458e-01,4.315784759401801551e+01
2.203125000000000000e+00,8.617813431076620789e-01,4.308906715538310550e+01
2.207031250000000000e+00,8.603449840848800267e-01,4.301724920424400267e+01
2.210937500000000000e+00,8.588885843913004470e-01,4.294442921956502346e+01
2.214843750000000000e+00,8.574501658945375970e-01,4.287250829472687741e+01
2.218750000000000000e+00,8.560648385578487618e-01,4.280324192789243654e+01
2.222656250000000000e+00,8.547645937226344692e-01,4.273822968613172435e+01
2.226562500000000000e+00,8.535781159962645415e-01,4.267890579981322929e+01
2.230468750000000000e+00,8.525306147734990070e-01,4.262653073867495124e+01
2.234375000000000000e+00,8.516436763123654829e-01,4.258218381561827215e+01
2.238281250000000000e+00,8.509351371729108049e-01,4.254675685864553714e+01
2.242187500000000000e+00,8.504189797104553250e-01,4.252094898552276447e+01
2.246093750000000000e+00,8.501052501944006412e-01,4.250526250972003339e+01
2.250000000000000000e+00,8.499999999999999778e-01,4.250000000000000000e+01
2.253906250000000000e+00,8.501052501944006412e-01,4.250526250972003339e+01
2.257812500000000000e+00,8.504189797104552140e-01,4.252094898552275737e+01
2.261718750000000000e+00,8.509351371729109159e-01,4.254675685864554424e+01
2.265625000000000000e+00,8.516436763123655940e-01,4.258218381561827925e+01
2.269531250000000000e+00,8.525306147734991180e-01,4.262653073867495834e+01
2.273437500000000000e+00,8.535781159962646525e-01,4.267890579981322929e+01
2.277343750000000000e+00,8.547645937226346913e-01,4.273822968613173146e+01
2.281250000000000000e+00,8.560648385578489838e-01,4.280324192789245075e+01
2.285156250000000000e+00,8.574501658945372640e-01,4.287250829472686320e+01
2.289062500000000000e+00,8.588885843913000029e-01,4.294442921956500214e+01
2.292968750000000000e+00,8.603449840848795827e-01,4.301724920424398135e+01
2.296875000000000000e+00,8.617813431076616348e-01,4.308906715538308418e+01
2.300781250000000000e+00,8.631569518803597907e-01,4.315784759401798709e+01
2.304687500000000000e+00,8.644286535540373073e-01,4.322143267770186270e+01
2.308593750000000000e+00,8.655510993865480618e-01,4.327755496932740442e+01
2.312500000000000000e+00,8.664770176565232962e-01,4.332385088282616437e+01
2.316406250000000000e+00,8.671574946436974018e-01,4.335787473218486809e+01
2.320312500000000000e+00,8.675422661379540434e-01,4.337711330689770506e+01
2.324218750000000000e+00,8.675800178814708774e-01,4.337900089407354187e+01
2.328125000000000000e+00,8.672186932989204289e-01,4.336093466494602211e+01
2.332031250000000000e+00,8.664058068302746829e-01,4.332029034151373281e+01
2.335937500000000000e+00,8.650887611493844886e-01,4.325443805746922266e+01
2.339843750000000000e+00,8.632151665295889620e-01,4.316075832647944566e+01
2.343750000000000000e+00,8.607331606049645201e-01,4.303665803024822623e+01
2.347656250000000000e+00,8.575917267728182525e-01,4.287958633864091240e+01
2.351562500000000000e+00,8.537410094894783974e-01,4.268705047447392076e+01
2.355468750000000000e+00,8.491326247273547345e-01,4.245663123636773406e+01
2.359375000000000000e+00,8.437199638866372808e-01,4.218599819433186582e+01
2.363281250000000000e+00,8.374584894895494847e-01,4.187292447447747179e+01
2.367187500000000000e+00,8.303060210288251142e-01,4.151530105144125571e+01
2.371093750000000000e+00,8.222230093945331886e-01,4.111115046972665965e+01
2.375000000000000000e+00,8.131727983645302693e-01,4.065863991822651258e+01
2.378906250000000000e+00,8.031218717130397255e-01,4.015609358565198761e+01
2.382812500000000000e+00,7.920400845691147884e-01,3.960200422845574053e+01
2.386718750000000000e+00,7.799008777412332893e-01,3.899504388706166225e+01
2.390625000000000000e+00,7.666814738158985731e-01,3.833407369079493066e+01
2.394531250000000000e+00,7.523630539361571001e-01,3.761815269680785434e+01
2.398437500000000000e+00,7.369309142698865500e-01,3.684654571349432928e+01
2.402343750000000000e+00,7.203746012871621307e-01,3.601873006435810964e+01
2.406250000000000000e+00,7.026880250800870975e-01,3.513440125400435221e+01
2.410156250000000000e+00,6.838695500769048641e-01,3.419347750384524431e+01
2.414062500000000000e+00,6.639220626239979994e-01,3.319610313119989797e+01
2.417968750000000000e+00,6.428530150342144367e-01,3.214265075171071828e+01
2.421875000000000000e+00,6.206744458268278475e-01,3.103372229134139104e+01
2.425781250000000000e+00,5.974029760129477840e-01,2.987014880064738875e+01
2.429687500000000000e+00,5.730597814094645637e-01,2.865298907047322885e+01
2.433593750000000000e+00,5.476705410939455287e-01,2.738352705469727510e+01
2.437500000000000000e+00,5.212653622417837695e-01,2.606326811208919025e+01
2.441406250000000000e+00,4.938786817143157037e-01,2.469393408571578519e+01
2.445312500000000000e+00,4.655491448922619568e-01,2.327745724461309607e+01
2.449218750000000000e+00,4.363194623716293297e-01,2.181597311858146782e+01
2.453125000000000000e+00,4.062362452588740847e-01,2.031181226294370390e+01
2.457031250000000000e+00,3.753498199176195094e-01,1.876749099588097636e+01
2.460937500000000000e+00,3.437140231303169591e-01,1.718570115651584729e+01
2.464843750000000000e+00,3.113859787439650084e-01,1.556929893719825131e+01
2.468750000000000000e+00,2.784258569690689633e-01,1.392129284845344728e+01
2.472656250000000000e+00,2.448966175947701052e-01,1.224483087973850459e+01
2.476562500000000000e+00,2.108637384699044715e-01,1.054318692349522379e+01
2.480468750000000000e+00,1.763949306794656835e-01,8.819746533973283675e+00
2.484375000000000000e+00,1.415598419177303557e-01,7.077992095886517454e+00
2.488281250000000000e+00,1.064297496231991491e-01,5.321487481159957511e+00
2.492187500000000000e+00,7.107724549572265460e-02,3.553862274786132591e+00
2.496093750000000000e+00,3.557591306286365246e-02,1.778795653143182554e+00
2.500000000000000000e+00,1.420775981201906226e-15,7.103879906009531128e-14
2.503906250000000000e+00,-3.557591306286188304e-02,-1.778795653143094180e+00
2.507812500000000000e+00,-7.107724549572089212e-02,-3.553862274786044662e+00
2.511718750000000000e+00,-1.064297496231974005e-01,-5.321487481159870470e+00
2.515625000000000000e+00,-1.415598419177286071e-01,-7.077992095886430413e+00
2.519531250000000000e+00,-1.763949306794639627e-01,-8.819746533973198410e+00
2.523437500000000000e+00,-2.108637384699027506e-01,-1.054318692349513675e+01
2.527343750000000000e+00,-2.448966175947683843e-01,-1.224483087973841933e+01
2.531250000000000000e+00,-2.784258569690672980e-01,-1.392129284845336556e+01
2.535156250000000000e+00,-3.113859787439633986e-01,-1.556929893719816960e+01
2.539062500000000000e+00,-3.437140231303153493e-01,-1.718570115651576913e+01
2.542968750000000000e+00,-3.753498199176179551e-01,-1.876749099588089820e+01
2.546875000000000000e+00,-4.062362452588709205e-01,-2.031181226294354758e+01
2.550781250000000000e+00,-4.363194623716296072e-01,-2.181597311858148203e+01
2.554687500000000000e+00,-4.655491448922605691e-01,-2.327745724461302856e+01
2.558593750000000000e+00,-4.938786817143143160e-01,-2.469393408571571413e+01
2.562500000000000000e+00,-5.212653622417808830e-01,-2.606326811208904459e+01
2.566406250000000000e+00,-5.476705410939458618e-01,-2.738352705469729287e+01
2.570312500000000000e+00,-5.730597814094633424e-01,-2.865298907047316845e+01
2.574218750000000000e+00,-5.974029760129466737e-01,-2.987014880064733546e+01
2.578125000000000000e+00,-6.206744458268251829e-01,-3.103372229134125959e+01
2.582031250000000000e+00,-6.428530150342148808e-01,-3.214265075171074670e+01
2.585937500000000000e+00,-6.639220626239970002e-01,-3.319610313119984824e+01
2.589843750000000000e+00,-6.838695500769024216e-01,-3.419347750384512352e+01
2.593750000000000000e+00,-7.026880250800876526e-01,-3.513440125400438063e+01
2.597656250000000000e+00,-7.203746012871613535e-01,-3.601873006435806701e+01
2.601562500000000000e+00,-7.369309142698858839e-01,-3.684654571349429375e+01
2.605468750000000000e+00,-7.523630539361549907e-01,-3.761815269680774776e+01
2.609375000000000000e+00,-7.666814738158993503e-01,-3.833407369079496618e+01
2.613281250000000000e+00,-7.799008777412326232e-01,-3.899504388706163382e+01
2.617187500000000000e+00,-7.920400845691142333e-01,-3.960200422845571211e+01
2.621093750000000000e+00,-8.031218717130379492e-01,-4.015609358565189524e+01
2.625000000000000000e+00,-8.131727983645297142e-01,-4.065863991822648416e+01
2.628906250000000000e+00,-8.222230093945328555e-01,-4.111115046972664544e+01
2.632812500000000000e+00,-8.303060210288235599e-01,-4.151530105144117755e+01
2.636718750000000000e+00,-8.374584894895502618e-01,-4.187292447447751442e+01
2.640625000000000000e+00,-8.437199638866370588e-01,-4.218599819433185161e+01
2.644531250000000000e+00,-8.491326247273545125e-01,-4.245663123636772696e+01
2.648437500000000000e+00,-8.537410094894770651e-01,-4.268705047447384970e+01
2.652343750000000000e+00,-8.575917267728190296e-01,-4.287958633864094793e+01
2.656250000000000000e+00,-8.607331606049644090e-01,-4.303665803024821912e+01
2.660156250000000000e+00,-8.632151665295888510e-01,-4.316075832647944566e+01
2.664062500000000000e+00,-8.650887611493836005e-01,-4.325443805746918002e+01
2.667968750000000000e+00,-8.664058068302746829e-01,-4.332029034151373281e+01
2.671875000000000000e+00,-8.672186932989204289e-01,-4.336093466494602211e+01
2.675781250000000000e+00,-8.675800178814701002e-01,-4.337900089407350634e+01
2.679687500000000000e+00,-8.675422661379547096e-01,-4.337711330689773348e+01
2.683593750000000000e+00,-8.671574946436974018e-01,-4.335787473218486809e+01
2.687500000000000000e+00,-8.664770176565232962e-01,-4.332385088282616437e+01
2.691406250000000000e+00,-8.655510993865475067e-01,-4.327755496932737600e+01
2.695312500000000000e+00,-8.644286535540379734e-01,-4.322143267770189823e+01
2.699218750000000000e+00,-8.631569518803599017e-01,-4.315784759401799420e+01
2.703125000000000000e+00,-8.617813431076617459e-01,-4.308906715538308418e+01
2.707031250000000000e+00,-8.603449840848791386e-01,-4.301724920424396004e+01
2.710937500000000000e+00,-8.588885843913001139e-01,-4.294442921956500925e+01
2.714843750000000000e+00,-8.574501658945372640e-01,-4.287250829472686320e+01
2.718750000000000000e+00,-8.560648385578487618e-01,-4.280324192789243654e+01
2.722656250000000000e+00,-8.547645937226349133e-01,-4.273822968613174567e+01
2.726562500000000000e+00,-8.535781159962646525e-01,-4.267890579981322929e+01
2.730468750000000000e+00,-8.525306147734992290e-01,-4.262653073867495834e+01
2.734375000000000000e+00,-8.516436763123654829e-01,-4.258218381561827215e+01
2.738281250000000000e+00,-8.509351371729110269e-01,-4.254675685864555135e+01
2.742187500000000000e+00,-8.504189797104553250e-01,-4.252094898552276447e+01
2.746093750000000000e+00,-8.501052501944006412e-01,-4.250526250972003339e+01
2.750000000000000000e+00,-8.499999999999999778e-01,-4.250000000000000000e+01
2.753906250000000000e+00,-8.501052501944007522e-01,-4.250526250972004050e+01
2.757812500000000000e+00,-8.504189797104553250e-01,-4.252094898552276447e+01
2.761718750000000000e+00,-8.509351371729108049e-01,-4.254675685864553714e+01
2.765625000000000000e+00,-8.516436763123652609e-01,-4.258218381561826504e+01
2.769531250000000000e+00,-8.525306147734990070e-01,-4.262653073867495124e+01
2.773437500000000000e+00,-8.535781159962644304e-01,-4.267890579981322219e+01
2.777343750000000000e+00,-8.547645937226346913e-01,-4.273822968613173146e+01
2.781250000000000000e+00,-8.560648385578483177e-01,-4.280324192789241522e+01
2.785156250000000000e+00,-8.574501658945375970e-01,-4.287250829472687741e+01
2.789062500000000000e+00,-8.588885843913003360e-01,-4.294442921956501635e+01
2.792968750000000000e+00,-8.603449840848795827e-01,-4.301724920424398135e+01
2.796875000000000000e+00,-8.617813431076620789e-01,-4.308906715538310550e+01
2.800781250000000000e+00,-8.631569518803602348e-01,-4.315784759401800841e+01
2.804687500000000000e+00,-8.644286535540374183e-01,-4.322143267770186981e+01
2.808593750000000000e+00,-8.655510993865469516e-01,-4.327755496932734758e+01
2.812500000000000000e+00,-8.664770176565228521e-01,-4.332385088282614305e+01
2.816406250000000000e+00,-8.671574946436968467e-01,-4.335787473218483967e+01
2.820312500000000000e+00,-8.675422661379541545e-01,-4.337711330689770506e+01
2.824218750000000000e+00,-8.675800178814695451e-01,-4.337900089407347792e+01
2.828125000000000000e+00,-8.672186932989208730e-01,-4.336093466494604343e+01
2.832031250000000000e+00,-8.664058068302752380e-01,-4.332029034151376123e+01
2.835937500000000000e+00,-8.650887611493841556e-01,-4.325443805746920845e+01
2.839843750000000000e+00,-8.632151665295894061e-01,-4.316075832647946697e+01
2.843750000000000000e+00,-8.607331606049650752e-01,-4.303665803024825465e+01
2.847656250000000000e+00,-8.575917267728198068e-01,-4.287958633864099056e+01
2.851562500000000000e+00,-8.537410094894768431e-01,-4.268705047447384260e+01
2.855468750000000000e+00,-8.491326247273542904e-01,-4.245663123636771275e+01
2.859375000000000000e+00,-8.437199638866369478e-01,-4.218599819433184450e+01
2.863281250000000000e+00,-8.374584894895501508e-01,-4.187292447447750732e+01
2.867187500000000000e+00,-8.303060210288235599e-01,-4.151530105144117755e+01
2.871093750000000000e+00,-8.222230093945336327e-01,-4.111115046972668097e+01
2.875000000000000000e+00,-8.131727983645307134e-01,-4.065863991822653389e+01
2.878906250000000000e+00,-8.031218717130388374e-01,-4.015609358565194498e+01
2.882812500000000000e+00,-7.920400845691151215e-01,-3.960200422845575474e+01
2.886718750000000000e+00,-7.799008777412336224e-01,-3.899504388706168356e+01
2.890625000000000000e+00,-7.666814738159002385e-01,-3.833407369079500882e+01
2.894531250000000000e+00,-7.523630539361556568e-01,-3.761815269680778329e+01
2.898437500000000000e+00,-7.369309142698864390e-01,-3.684654571349432217e+01
2.902343750000000000e+00,-7.203746012871621307e-01,-3.601873006435810964e+01
2.906250000000000000e+00,-7.026880250800885408e-01,-3.513440125400443037e+01
2.910156250000000000e+00,-6.838695500769034208e-01,-3.419347750384517326e+01
2.914062500000000000e+00,-6.639220626239981105e-01,-3.319610313119990508e+01
2.917968750000000000e+00,-6.428530150342161020e-01,-3.214265075171080355e+01
2.921875000000000000e+00,-6.206744458268262932e-01,-3.103372229134131288e+01
2.925781250000000000e+00,-5.974029760129477840e-01,-2.987014880064738875e+01
2.929687500000000000e+00,-5.730597814094645637e-01,-2.865298907047322885e+01
2.933593750000000000e+00,-5.476705410939470831e-01,-2.738352705469735326e+01
2.937500000000000000e+00,-5.212653622417825483e-01,-2.606326811208912630e+01
2.941406250000000000e+00,-4.938786817143161478e-01,-2.469393408571580650e+01
2.945312500000000000e+00,-4.655491448922624009e-01,-2.327745724461312093e+01
2.949218750000000000e+00,-4.363194623716315501e-01,-2.181597311858157795e+01
